,Specimen.Tag,Sex,State,County,Subspecies,Latitude,Longitude,SVL1,SVL2,SVL_Ave,annual_temp,temp_seasonality,annual_rainfall,rainfall_seasonality,days_above_10,days_above_5,Site,county_site
44,OMNH 25147,M,Lousiana,Monroe,Southern,32.50996,-92.11943,74.1,74.2,74.15,18.45783424,763.9268188,1349,143,291,365,Site_14,Site_29
45,OMNH 30863,M,Lousiana,Monroe,Southern,32.50996,-92.11943,70.1,70.3,70.2,18.45783424,763.9268188,1349,143,291,365,Site_14,Site_29
46,OMNH 30862,M,Lousiana,Monroe,Southern,32.50996,-92.11943,73.8,72.2,73,18.45783424,763.9268188,1349,143,291,365,Site_14,Site_29
47,OMNH 50041,M,Oklahoma,Nowata,Northern,36.62651062,-95.72544676,81.22,81.25,81.235,14.88983345,931.7510376,1023,126,243,293,Site_60,Site_31
48,OMNH 49663,F,Oklahoma,Okfuskee,Intergrade,35.49509413,-96.26467465,80.8,80.5,80.65,15.75349998,888.2183228,1015,142,256,312,Site_43,Site_32
49,OMNH 50036,M,Oklahoma,Okmulgee,Intergrade,35.69688629,-95.88155297,72.6,72.3,72.45,15.57366753,898.1121826,1056,140,255,310,Site_45,Site_33
50,OMNH 30845,M,Oklahoma,Osage,Northern,36.63346863,-96.29998016,94,94,94,14.8961668,939.1248779,1045,134,244,293,Site_61,Site_34
51,OMNH 43880,M,Oklahoma,Ottawa,Northern,36.83857346,-94.92933655,93.9,93.9,93.9,14.39783287,928.453186,1103,132,237,287,Site_62,Site_35
52,OMNH 43881,M,Oklahoma,Ottawa,Northern,36.83857346,-94.92933655,81.5,81.1,81.3,14.39783287,928.453186,1103,132,237,287,Site_62,Site_35
53,OMNH 43879,M,Oklahoma,Ottawa,Northern,36.83857346,-94.92933655,107,106.8,106.9,14.39783287,928.453186,1103,132,237,287,Site_62,Site_35
54,OMNH 27605,M,Oklahoma,Ottawa,Northern,36.85187149,-94.88243866,89.6,89.9,89.75,14.4333334,923.7595215,1110,132,237,287,Site_63,Site_35
55,OMNH 26271,M,Oklahoma,Ottawa,Northern,36.85907364,-94.90383911,98,98.1,98.05,14.4333334,923.7595215,1110,132,237,287,Site_65,Site_35
56,JWW 12,M,Lousiana,Ouachita,Southern,32.437844,-92.187673,75,75,75,17.97716713,752.6108398,1370,142,292,365,Site_12,Site_36
57,JWW 36,M,Lousiana,Ouachita,Southern,32.437844,-92.187673,66.8,66.6,66.7,17.97716713,752.6108398,1370,142,292,365,Site_12,Site_36
58,JWW 63,M,Lousiana,Ouachita,Southern,32.437844,-92.187673,59.5,59.9,59.7,17.97716713,752.6108398,1370,142,292,365,Site_12,Site_36
59,JWW 47,M,Lousiana,Ouachita,Southern,32.437844,-92.187673,69.7,70.4,70.05,17.97716713,752.6108398,1370,142,292,365,Site_12,Site_36
60,JWW 8,M,Lousiana,Ouachita,Southern,32.437844,-92.187673,65.4,65.3,65.35,17.97716713,752.6108398,1370,142,292,365,Site_12,Site_36
61,OMNH 50030,F,Oklahoma,Pittsburg,Southern,34.941992,-95.981691,93.4,93.6,93.5,16.07416725,863.7852173,1096,149,258,321,Site_40,Site_37
62,OMNH 25157,M,Lousiana,Richland,Southern,32.47413,-91.75601,90.2,90.2,90.2,18.03800011,766.6940918,1387,144,295,365,Site_13,Site_39
63,OMNH 50052,F,Oklahoma,Rogers,Northern,36.49078,-95.68664,83.46,83.7,83.58,15.19266701,926.0310669,1049,126,247,297,Site_57,Site_40
64,OMNH 50038,M,Oklahoma,Rogers,Northern,36.56829143,-95.66950095,81.3,81.3,81.3,15.05599976,933.4664307,1032,127,246,295,Site_59,Site_40
65,OMNH 50040,M,Oklahoma,Rogers,Northern,36.48111159,-95.68676239,80.8,80.4,80.6,15.19266701,926.0310669,1049,126,247,297,Site_56,Site_40
66,OMNH 43713,M,Oklahoma,Seminole,Intergrade,35.40682,-96.46704,86.5,87.1,86.8,15.78366661,880.2744751,990,139,256,314,Site_41,Site_41
67,OMNH 26267,M,Oklahoma,Sequoyah,Northern,35.51459122,-94.76931763,78,78.3,78.15,15.56233311,864.0946655,1162,148,250,307,Site_44,Site_42
68,UTA A40545,M,Texas,Trinity,Southern,31.077052,-95.126086,66.4,66.6,66.5,19.04299927,709.7892456,1135,122,318,365,Site_8,Site_43
69,UTA A40542,M,Texas,Trinity,Southern,31.05823,-95.261393,73.9,73.8,73.85,18.99333382,719.5414429,1110,120,321,365,Site_7,Site_43
70,UTA A40575,F,Texas,Trinity,Southern,30.955587,-95.115801,80.9,81,80.95,18.98033333,715.9439087,1157,127,324,365,Site_5,Site_43
71,UTA A40571,M,Texas,Trinity,Southern,31.08225,-94.947253,76.8,76.5,76.65,18.90366745,709.6646729,1153,126,320,365,Site_9,Site_43
72,UTA A40572,M,Texas,Trinity,Southern,31.055045,-95.178991,75.7,74.1,74.9,19.04316711,713.5031738,1126,121,321,365,Site_6,Site_43
73,OMNH 50043,M,Oklahoma,Tulsa,Northern,36.38019554,-95.91344397,89.3,90.1,89.7,15.28366661,930.6407471,1024,130,249,300,Site_54,Site_44
74,OMNH 50042,F,Oklahoma,Tulsa,Northern,36.3947128,-95.88869051,89.3,88.8,89.05,15.28366661,930.6407471,1024,130,249,300,Site_55,Site_44
75,OMNH 30917,M,Oklahoma,Tulsa,Northern,36.21029663,-95.82806396,92.3,92.5,92.4,15.39983368,923.5758667,1036,136,251,303,Site_53,Site_44
76,OMNH 30728,M,Oklahoma,Tulsa,Northern,36.20519638,-95.83446503,86.4,86.8,86.6,15.57383347,931.496582,1036,140,252,305,Site_52,Site_44
77,OMNH 43551,M,Oklahoma,Tulsa,Northern,36.13339615,-95.92297363,92.8,92.8,92.8,15.90416718,930.9570313,1030,140,251,304,Site_50,Site_44
78,OMNH 50034,M,Oklahoma,Wagoner,Northern,35.929,-95.33955,84.06,83.45,83.755,15.54650021,900.4351807,1102,134,254,311,Site_49,Site_45
79,UTA A40622,F,Texas,Walker,Southern,30.705371,-95.575065,91.4,91.2,91.3,19.39566612,702.4681396,1143,132,328,365,Site_4,Site_46
80,UTA A40621,M,Texas,Walker,Southern,30.705371,-95.575065,82.8,82.5,82.65,19.39566612,702.4681396,1143,132,328,365,Site_4,Site_46
81,UTA A40623,F,Texas,Walker,Southern,30.705371,-95.575065,75.2,74.9,75.05,19.39566612,702.4681396,1143,132,328,365,Site_4,Site_46
82,UTA A40432,F,Texas,Walker,Southern,30.705371,-95.575065,77.1,76.9,77,19.39566612,702.4681396,1143,132,328,365,Site_4,Site_46
83,UTA A40428,M,Texas,Walker,Southern,30.705371,-95.575065,73.2,72.8,73,19.39566612,702.4681396,1143,132,328,365,Site_4,Site_46
84,OMNH 39878,M,Oklahoma,Washington,Northern,36.53208,-95.95767,95.8,96.1,95.95,15.20816612,930.322937,1014,125,246,296,Site_58,Site_47
85,OSUS A4376,M,Oklahoma ,McCurtain,Southern,33.895554,-94.830466,77.2,77.3,77.25,16.73366737,820.1760254,1239,151,271,365,Site_25,Site_28
86,OSUS A5479,F,Oklahoma,Le Flore,Southern,34.932599,-94.709908,88.5,88.4,88.45,16.14949989,849.4197998,1199,157,261,326,Site_39,Site_25
87,OSUS A2291,M,Oklahoma,McCurtain,Southern,33.895665,-94.826328,74.7,74.5,74.6,16.73366737,820.1760254,1239,151,271,365,Site_26,Site_28
88,OSUS A5480,F,Oklahoma,Le Flore,Southern,34.932599,-94.709908,80.6,80.6,80.6,16.14949989,849.4197998,1199,157,261,326,Site_39,Site_25
89,OSUS A2290,M,Oklahoma,McCurtain,Southern,33.895665,-94.826328,73.7,73.8,73.75,16.73366737,820.1760254,1239,151,271,365,Site_26,Site_28
90,OSUS A5389,M,Texas,Red River,Southern,33.566728,-95.007963,74.8,74.8,74.8,17.07466698,813.8275757,1188,134,275,365,Site_22,Site_38
91,OSUS A2297,F,Oklahoma ,Osage,Northern,36.852203,-96.567352,88.6,89.5,89.05,14.28733349,949.4819946,929,129,236,284,Site_64,Site_34
92,OSUS A5390,M,Oklahoma,Cherokee,Northern,35.797169,-95.196355,95.5,95.3,95.4,15.62383366,879.4108276,1135,138,256,315,Site_48,Site_5
93,OSUS 2296,F,Oklahoma,Osage,Northern,36.852203,-96.567352,118.5,118.2,118.35,14.28733349,949.4819946,929,129,236,284,Site_64,Site_34
94,OSUS A5043,M,Okahoma,Cherokee,Northern,35.778082,-95.269585,91.4,90.1,90.75,15.84516621,895.3996582,1123,138,258,317,Site_47,Site_5
95,OSUS A4378,M,Oklahoma,Muskogee,Intergrade,35.493179,-95.327886,94.5,94.7,94.6,15.86033344,882.5152588,1122,140,255,314,Site_42,Site_30
96,OSUS A224,M,Oklahoma ,Sequoyah,Northern,35.710926,-94.919952,83.5,82.9,83.2,15.50349998,861.3706055,1147,142,252,310,Site_46,Site_42
97,OSUS A2295,M,Oklahoma,Osage,Northern,36.852203,-96.567352,87.9,88,87.95,14.28733349,949.4819946,929,129,236,284,Site_64,Site_34
98,OSUS A5391,M,Okahoma,Cherokee,Northern,35.797169,-95.196355,91.1,90.7,90.9,15.62383366,879.4108276,1135,138,256,315,Site_48,Site_5
99,OSUS A5044,M,Oklahoma,Cherokee,Northern,35.778082,-95.269585,75.5,75.5,75.5,15.84516621,895.3996582,1123,138,258,317,Site_47,Site_5
100,OSUS A4377,M,Oklahoma,Muskogee,Intergrade,35.493179,-95.327886,67.2,67,67.1,15.86033344,882.5152588,1122,140,255,314,Site_42,Site_30
101,UIMNH 13165,F,Kentucky ,McCracken,Northern,37.0477719,-88.6347622,92.5,92.7,92.6,14.45616627,909.6498413,1266,125,239,288,Site_66,Site_27
102,UIMNH 13166,M,Kentucky ,McCracken,Northern,37.0477719,-88.6347622,88.7,88.8,88.75,14.45616627,909.6498413,1266,125,239,288,Site_66,Site_27
103,UIMNH 13167,M,Kentucky ,McCracken,Northern,37.0477719,-88.6347622,79.3,79.5,79.4,14.45616627,909.6498413,1266,125,239,288,Site_66,Site_27
104,UIMNH 13168,M,Kentucky ,McCracken,Northern,37.0477719,-88.6347622,65.2,65.5,65.35,14.45616627,909.6498413,1266,125,239,288,Site_66,Site_27
105,INHS 27619,F,Illinois,Williamson,Northern,37.67631,-89.09911,72.1,72.1,72.1,13.51483345,924.0258179,1159,123,231,279,Site_68,Site_48
106,INHS 51284,M,Illinois,Williamson,Northern,37.7385,-89.1437,94.5,94.1,94.3,13.53766632,934.9366455,1148,122,231,279,Site_74,Site_48
107,INHS 29918,F,Illinois,Williamson,Northern,37.72187,-89.15207,86,86,86,13.53766632,934.9366455,1148,122,231,279,Site_70,Site_48
108,INHS 51285,F,Illinois,Williamson,Northern,37.7385,-89.1437,84.8,85,84.9,13.53766632,934.9366455,1148,122,231,279,Site_74,Site_48
109,INHS 29917,F,Illinois,Williamson,Northern,37.72187,-89.15207,95.2,95.5,95.35,13.53766632,934.9366455,1148,122,231,279,Site_70,Site_48
110,UIMNH 5248,M,Illinois ,Coles,Northern,39.37798,-88.37821,89.5,88.5,89,11.5296669,1001.989563,1025,109,213,258,Site_88,Site_9
111,UIMNH 72646,M,Illinois ,Coles,Northern,39.37798,-88.37821,88.3,88.6,88.45,11.5296669,1001.989563,1025,109,213,258,Site_88,Site_9
112,UIMNH 5245,M,Illinois ,Coles,Northern,39.37798,-88.37821,95.6,95,95.3,11.5296669,1001.989563,1025,109,213,258,Site_88,Site_9
113,UIMNH 5011,M,Illinois ,Coles,Northern,39.37798,-88.37821,89.6,89.8,89.7,11.5296669,1001.989563,1025,109,213,258,Site_88,Site_9
114,UIMNH 72647,F,Illinois ,Coles,Northern,39.37798,-88.37821,99.3,99.5,99.4,11.5296669,1001.989563,1025,109,213,258,Site_88,Site_9
115,INHS 51273,F,Illinois,Jackson,Northern,37.7266,-89.21966,93.3,93.2,93.25,13.5454998,939.4650269,1151,122,231,279,Site_71,Site_19
116,INHS 51271,F,Illinois,Jackson,Northern,37.7266,-89.21966,86.1,85.9,86,13.5454998,939.4650269,1151,122,231,279,Site_71,Site_19
117,INHS 51274,F,Illinois,Jackson,Northern,37.69938,-89.22965,89.1,88.8,88.95,13.45633316,930.1021729,1161,123,231,279,Site_69,Site_19
118,INHS 51277,M,Illinois,Jackson,Northern,37.7297,-89.2427,84.9,85.1,85,13.5454998,939.4650269,1151,122,231,279,Site_73,Site_19
119,INHS 51280,F,Illinois,Jackson,Northern,37.72786,-89.18514,93.9,93.5,93.7,13.5496664,937.7953491,1147,122,231,279,Site_72,Site_19
120,INHS 8758,F,Illinois,Jasper,Northern ,38.98988,-88.20148,105.1,105,105.05,12.08533287,986.0450439,1058,108,215,261,Site_82,Site_20
121,INHS 8757,F,Illinois ,Jasper,Northern,39.04541,-88.15238,89.1,89.1,89.1,11.96083355,982.3466797,1050,107,216,261,Site_83,Site_20
122,INHS 20874,M,Illinois,Jasper,Northern,38.9139,-88.1969,97.1,96.9,97,12.15849972,981.3381348,1068,110,216,262,Site_80,Site_20
123,INHS 8095,M,Illinois,Marion,Northern,38.72912,-88.9488,73.6,73.6,73.6,12.27516651,978.12677,1032,108,218,265,Site_76,Site_26
124,INHS 8096,M,Illinois,Marion,Northern,38.72912,-88.9488,85.2,85.2,85.2,12.27516651,978.12677,1032,108,218,265,Site_76,Site_26
125,INHS 20483,M,Illinois,Marion,Northern,38.7482,-88.8556,98.5,98.6,98.55,12.24400043,979.5393677,1037,108,218,264,Site_78,Site_26
126,INHS 8094,M,Illinois ,Marion,Northern,38.73632,-88.949,86,86.1,86.05,12.27516651,978.12677,1032,108,218,265,Site_77,Site_26
127,INHS 20482,F,Illinois ,Marion,Northern,38.7889,-89.0679,98.7,98.9,98.8,12.39483356,983.706543,1016,107,220,265,Site_79,Site_26
128,INHS 3843,F,Illinois ,Cumberland ,Northern,39.31868,-88.45441,92.7,92.5,92.6,11.58749962,1000.753906,1020,107,214,259,Site_87,Site_11
129,INHS 3368,F,Illinois ,Cumberland ,Northern,39.2455,-88.15496,94,94.2,94.1,11.75666618,988.953125,1045,110,215,260,Site_84,Site_11
130,INHS 2872,F,Illinois ,Cumberland ,Northern,39.31639,-88.36738,106.8,106.5,106.65,11.60683346,993.4787598,1027,108,214,259,Site_86,Site_11
131,INHS 3369,F,Illinois ,Cumberland ,Northern,39.2455,-88.15496,74.3,74.3,74.3,11.75666618,988.953125,1045,110,215,260,Site_84,Site_11
132,INHS 2100,M,Illinois ,Cumberland ,Northern,39.2509,-88.21055,88.6,88.8,88.7,11.73916626,993.2172241,1036,109,215,260,Site_85,Site_11
133,UIMNH 32367,M,Kansas ,Douglas,Northern,38.92111,-95.232778,84.1,84.2,84.15,12.9418335,1019.654053,1002,140,228,271,Site_81,Site_14
134,UIMNH 38894,M,Kansas ,Douglas,Northern,38.92111,-95.232778,110.9,111.5,111.2,12.9418335,1019.654053,1002,140,228,271,Site_81,Site_14
135,UIMNH 32368,F,Kansas ,Douglas,Northern,38.92111,-95.232778,90.7,91,90.85,12.9418335,1019.654053,1002,140,228,271,Site_81,Site_14
136,UIMNH 38895,M,Kansas ,Douglas,Northern,38.92111,-95.232778,100.5,100.5,100.5,12.9418335,1019.654053,1002,140,228,271,Site_81,Site_14
137,UIMNH 32366,M,Kansas ,Douglas,Northern,38.92111,-95.232778,86.4,86.1,86.25,12.9418335,1019.654053,1002,140,228,271,Site_81,Site_14
138,UIMNH 32371,M,Kansas ,Cherokee,Northern,37.07472222,-94.70444444,85.5,85.4,85.45,14.22533321,921.2385864,1114,131,234,282,Site_67,Site_5
139,UIMNH 32374,F,Kansas ,Cherokee,Northern,37.07472222,-94.70444444,89,88.2,88.6,14.22533321,921.2385864,1114,131,234,282,Site_67,Site_5
140,UIMNH 32372,M,Kansas ,Cherokee,Northern,37.07472222,-94.70444444,92.9,92.8,92.85,14.22533321,921.2385864,1114,131,234,282,Site_67,Site_5
141,UIMNH 32370,M,Kansas ,Cherokee,Northern,37.07472222,-94.70444444,90.3,90.1,90.2,14.22533321,921.2385864,1114,131,234,282,Site_67,Site_5
142,UIMNH 32373,M,Kansas ,Cherokee,Northern,37.07472222,-94.70444444,89.5,89.6,89.55,14.22533321,921.2385864,1114,131,234,282,Site_67,Site_5
